blockNumber;timeStamp;hash;nonce;blockHash;from;contractAddress;to;value;tokenName;tokenSymbol;tokenDecimal;transactionIndex;gas;gasPrice;gasUsed;cumulativeGasUsed;input;confirmations
17257674;2023-05-14 10:59:12;0x6769a42c5aa397a0bb62c52c3c0a8f3d41fd8c38c08596ea3d34408ce6931946;1;0x93e5b5fbf5af38a5c67edf18b55dfd56f45ab4a6acb731a80d6b728ffac1293f;0xbbf3367b4c303cd58b7c72db09ffacca578bd69b;0x0f5d2fb29fb7d3cfee444a200298f468908cc942;0x28c6c06298d514db089934071355e5743bf21d60;2047.0;Decentraland;MANA;18;93;74274;43210541927;32337;5322293;deprecated;17148
17257706;2023-05-14 11:07:44;0x2a0829d20c21ec25bf63ca17f2e2cee58c7e6af4d79b5fc280f25b662cb45441;85;0x9987e80e96b95fd57cb5206d817fbe8fb5e2f50e109b85bafeb9b33313a0285a;0xe027ce3b22656e732534797cd0c29c94b47c553d;0x0f5d2fb29fb7d3cfee444a200298f468908cc942;0x99870de8ae594e6e8705fc6689e89b4d039af1e2;326.00669348;Decentraland;MANA;18;31;45193;49063968025;32861;4413870;deprecated;17116
17257717;2023-05-14 11:09:52;0xbf5f790aa5127fbed4e7877efabc1123a0eebb0632a5bd633707bb38f158aaeb;336611;0xa34575cea94bebfde5eb5d54357a76e928c1d57af8160f357d4d9bc4ebc9f206;0x95b564f3b3bae3f206aa418667ba000afafacc8a;0x0f5d2fb29fb7d3cfee444a200298f468908cc942;0x5051c8b5e678498c5092b9d612108dd139ecdd26;61.438691000000006;Decentraland;MANA;18;13;250000;43446359469;37149;1162366;deprecated;17105
17257726;2023-05-14 11:12:00;0x655470e131626a40be5847ade5bb8bf55f72da340b7cc29fd609bc41c99f2999;532;0x6191d19bfa96a04df4cf78851a5ff69225694f0d33da03ced111325ceddcf97a;0x862f109696d7121438642a78b3caa38f476db08b;0x0f5d2fb29fb7d3cfee444a200298f468908cc942;0xd62b8e418fad9cbed33ef2c5de1eaa3f5d9d6750;1792.4514754729144;Decentraland;MANA;18;98;81391;38857590289;49461;11098001;deprecated;17096
17257757;2023-05-14 11:18:24;0x7d6d5898e433a68c1a56e798bab8c657374dc9f5692a2737faf50203c9849c3a;90;0x199a47addc45f7901a1a7cc9b6ef25400468594ae0b0b0cf8cb25ac281b18460;0xcb8b54c3e30af479d325a0b20f7258cbbf5452ee;0x0f5d2fb29fb7d3cfee444a200298f468908cc942;0xce5b1423f22960e0cab2c36d380a1e8ffb9e4249;1465.4859;Decentraland;MANA;18;66;59673;38666791250;54249;4358532;deprecated;17065
17257777;2023-05-14 11:20:32;0xe79b268df2c70b8d51637927d79b53f36128d583a7c479c094a11b9da18910a7;4265;0x84d6088ac581c11534483237ad8c45dd613393be710c533e8b063a9a5679a8af;0x099a3c7d59c070ba3fea75337830c6dd7ab334f8;0x0f5d2fb29fb7d3cfee444a200298f468908cc942;0x83619a515cbee5cff8929756dce7bfabb9f835e6;161.88911521;Decentraland;MANA;18;40;200000;39623601678;54249;5003669;deprecated;17045
17257795;2023-05-14 11:24:48;0x45c7be3bdf907d786d797838fc593537b712cb64e49e2f870c07526a6026dd25;6120911;0xa62244af1c138094c3d28ab0c376907850a89aa069ab56b8a514ed47b91c481f;0xdfd5293d8e347dfe59e90efd55b2956a1343963d;0x0f5d2fb29fb7d3cfee444a200298f468908cc942;0x61d00c434b294045142312cff9b165aafcbe0194;367.604;Decentraland;MANA;18;34;207128;39130497556;37137;3742211;deprecated;17027
17257801;2023-05-14 11:26:56;0x9253cd8972468a2a2b70191a83470872c14c9f50bfaf961ff850df4b6b69509c;923698;0x6723005c102608ab2a7763f8403f33b2598f3fcf20db350cc312f6c33fb72fd4;0xf89d7b9c864f589bbf53a82105107622b35eaa40;0x0f5d2fb29fb7d3cfee444a200298f468908cc942;0x8dbd0105be1f61a106a41260e0ba091c28b65bc5;270.84884999999997;Decentraland;MANA;18;69;90000;41241030435;54249;5898594;deprecated;17021
17257812;2023-05-14 11:29:04;0x9d51c60f40b029afc944ab9685926eb86cb6096a259461dfebf0cff1c6a1ef6d;39;0x5b838c0427e625b3d6c9536a1e6e3dc5a234d5e5e40ed1bb450b706f877fb2a2;0xd72ac7729fe39b59cdfda9ec8ce7a36726575180;0x0f5d2fb29fb7d3cfee444a200298f468908cc942;0x74de5d4fcbf63e00296fd95d33236b9794016631;7000.73943;Decentraland;MANA;18;71;323174;37611029532;201065;7344473;deprecated;17010
17257812;2023-05-14 11:29:04;0x9d51c60f40b029afc944ab9685926eb86cb6096a259461dfebf0cff1c6a1ef6d;39;0x5b838c0427e625b3d6c9536a1e6e3dc5a234d5e5e40ed1bb450b706f877fb2a2;0x74de5d4fcbf63e00296fd95d33236b9794016631;0x0f5d2fb29fb7d3cfee444a200298f468908cc942;0x2008b6c3d07b061a84f790c035c2f6dc11a0be70;7000.73943;Decentraland;MANA;18;71;323174;37611029532;201065;7344473;deprecated;17010
17257850;2023-05-14 11:37:36;0x7749b1c6dc35052c729f3cc4585e46ad3f08ca76d88c0e3a967eaedcd71d6e37;460;0x5b831b7c20fe9f0f8abade2c817a254bdf43a99e74c5b955294d775a4fb3fd63;0xdab8c0126102db3b5d678475e7f5ff6fbd390a54;0x0f5d2fb29fb7d3cfee444a200298f468908cc942;0xdef171fe48cf0115b1d80b88dc8eab59176fee57;2404.779585834914;Decentraland;MANA;18;121;733398;39009172271;479601;10962096;deprecated;16972
17257850;2023-05-14 11:37:36;0x7749b1c6dc35052c729f3cc4585e46ad3f08ca76d88c0e3a967eaedcd71d6e37;460;0x5b831b7c20fe9f0f8abade2c817a254bdf43a99e74c5b955294d775a4fb3fd63;0xdef171fe48cf0115b1d80b88dc8eab59176fee57;0x0f5d2fb29fb7d3cfee444a200298f468908cc942;0x8661ae7918c0115af9e3691662f605e9c550ddc9;2404.779585834914;Decentraland;MANA;18;121;733398;39009172271;479601;10962096;deprecated;16972
17257857;2023-05-14 11:37:36;0xc9ab79bcccf1dad619d1a6274497af06cd60c4278cfe16d939a61dff482fda62;8757482;0x9c52a3ab1162408d4758896fb8d94ef19cbc32091fab67978eed192eaeb718ab;0x46340b20830761efd32832a74d7169b29feb9758;0x0f5d2fb29fb7d3cfee444a200298f468908cc942;0x8f77f69de7af8b6ab6a0b80e335fa14494e563d2;343.1;Decentraland;MANA;18;9;350000;51716910137;54237;1520410;deprecated;16965
17257878;2023-05-14 11:41:52;0x01eb74a39c21c3833872f70da91e7475f577681a3bdd0f4beac48a4be23bfd03;746780;0x0a8abb7cbedf3e0110863db34ae5acd625edf8d96c532df975e477f9f3cd2169;0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43;0x0f5d2fb29fb7d3cfee444a200298f468908cc942;0x751e41d8460d3809df3af8a5f6348fface411aeb;53.44406281;Decentraland;MANA;18;66;2000000;38548019219;337326;4770242;deprecated;16944
17257887;2023-05-14 11:44:00;0xd61c046d82e6f4fcf66c4ca21fbe86941eab8920792f134ce575a7dd6ef29c73;84;0xddf47dcb2ebd9c62dfd85704cb67a79fbf44a3a414cba640ec3203213dbaccb7;0x02c21492647133826e8d8eedf30fa32c5a46bea7;0x0f5d2fb29fb7d3cfee444a200298f468908cc942;0x49b3ef8c5e453fbd4e24d5e8ceaeadadd11df565;12465.0;Decentraland;MANA;18;70;250000;41000000000;54249;5418266;deprecated;16935
