blockNumber;timeStamp;hash;nonce;blockHash;from;contractAddress;to;value;tokenName;tokenSymbol;tokenDecimal;transactionIndex;gas;gasPrice;gasUsed;cumulativeGasUsed;input;confirmations
17268227;2023-05-15 22:47:28;0x955053eb775f19a949edc56dec72897bf82742e4533375493f72d72522d9fda3;1;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0xd8d6ffe342210057bf4dcc31da28d006f253cef0;0.014052540784207831;Gala;GALA;8;26;400000;97853846207;326538;3416401;deprecated;6594
17268227;2023-05-15 22:47:28;0x955053eb775f19a949edc56dec72897bf82742e4533375493f72d72522d9fda3;1;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0xbb317c75f7ca98f830dd6f7eb1981852ebe6f839;0.008299083298708878;Gala;GALA;8;26;400000;97853846207;326538;3416401;deprecated;6594
17268227;2023-05-15 22:47:28;0x955053eb775f19a949edc56dec72897bf82742e4533375493f72d72522d9fda3;1;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x593aebee9117eea447279e5973f64c68d8e977a0;0.0057753016;Gala;GALA;8;26;400000;97853846207;326538;3416401;deprecated;6594
17268227;2023-05-15 22:47:28;0x89d91e5e8c03189e56afb24d62ea5802a41ab5a48d63ebd082e0fd04d4bd7e4e;2;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x1579b5f6582c7a04f5ffeec683c13008c4b0a520;0.003869226124321647;Gala;GALA;8;27;400000;97853846207;326574;3742975;deprecated;6594
17268227;2023-05-15 22:47:28;0x89d91e5e8c03189e56afb24d62ea5802a41ab5a48d63ebd082e0fd04d4bd7e4e;2;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x3727cfcbd85390bb11b3ff421878123adb866be8;0.003731874949694823;Gala;GALA;8;27;400000;97853846207;326574;3742975;deprecated;6594
17268227;2023-05-15 22:47:28;0x89d91e5e8c03189e56afb24d62ea5802a41ab5a48d63ebd082e0fd04d4bd7e4e;2;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec;0.002030342169252065;Gala;GALA;8;27;400000;97853846207;326574;3742975;deprecated;6594
17268227;2023-05-15 22:47:28;0x89d91e5e8c03189e56afb24d62ea5802a41ab5a48d63ebd082e0fd04d4bd7e4e;2;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0xe3ecd65cf2ad2eba2aa2be1d0894753b2172abd1;0.0012692653625;Gala;GALA;8;27;400000;97853846207;326574;3742975;deprecated;6594
17268227;2023-05-15 22:47:28;0x89d91e5e8c03189e56afb24d62ea5802a41ab5a48d63ebd082e0fd04d4bd7e4e;2;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0xa01aa2196724a39290f465b3925e5dcafe7f2256;0.001010000016820421;Gala;GALA;8;27;400000;97853846207;326574;3742975;deprecated;6594
17268227;2023-05-15 22:47:28;0x89d91e5e8c03189e56afb24d62ea5802a41ab5a48d63ebd082e0fd04d4bd7e4e;2;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x187e3534f461d7c59a7d6899a983a5305b48f93f;0.00098003210552253;Gala;GALA;8;27;400000;97853846207;326574;3742975;deprecated;6594
17268227;2023-05-15 22:47:28;0x89d91e5e8c03189e56afb24d62ea5802a41ab5a48d63ebd082e0fd04d4bd7e4e;2;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0xee8721c58a31223525be01094cd97bb7b034ca7f;0.000850766162163866;Gala;GALA;8;27;400000;97853846207;326574;3742975;deprecated;6594
